,name,reviewer,price,restauran_type,star
208,Moe’s Southwest Grill,,,,
209,QDOBA Mexican Eats,5,,,3 star rating
210,1. There on Fifth,39,,,5 star rating
211,2. Rock Steady - Atlanta,197,$$,,4 star rating
212,3. The Optimist,1764,,,4.5 star rating
213,4. Food Terminal - Atlanta,173,$$,,4.5 star rating
214,5. Forza Storico,222,,,4 star rating
215,6. Choong Man Chicken - Georgia Tech,51,,,4 star rating
216,7. Pijiu Belly,442,,,4 star rating
217,8. Velvet Taco,52,,,4.5 star rating
218,9. JCT Kitchen & Bar,1795,,,4 star rating
219,10. Le Fat,402,$$,,4 star rating
220,Firehouse Subs,63,,,3.5 star rating
221,Moe’s Southwest Grill,,,,
222,QDOBA Mexican Eats,5,,,3 star rating
223,1. There on Fifth,39,,,5 star rating
224,2. Rock Steady - Atlanta,197,$$,,4 star rating
225,3. The Optimist,1764,,,4.5 star rating
226,4. Food Terminal - Atlanta,173,$$,,4.5 star rating
227,5. Forza Storico,222,,,4 star rating
228,6. Choong Man Chicken - Georgia Tech,51,,,4 star rating
229,7. Pijiu Belly,442,,,4 star rating
230,8. Velvet Taco,52,,,4.5 star rating
231,9. JCT Kitchen & Bar,1795,,,4 star rating
232,10. Le Fat,402,$$,,4 star rating
233,Firehouse Subs,63,,,3.5 star rating
234,Moe’s Southwest Grill,,,,
235,QDOBA Mexican Eats,5,,,3 star rating
236,1. There on Fifth,39,,,5 star rating
237,2. Rock Steady - Atlanta,197,$$,,4 star rating
238,3. The Optimist,1764,,,4.5 star rating
239,4. Food Terminal - Atlanta,173,$$,,4.5 star rating
240,5. Forza Storico,222,,,4 star rating
241,6. Choong Man Chicken - Georgia Tech,51,,,4 star rating
242,7. Pijiu Belly,442,,,4 star rating
243,8. Velvet Taco,52,,,4.5 star rating
244,9. JCT Kitchen & Bar,1795,,,4 star rating
245,10. Le Fat,402,$$,,4 star rating
246,Firehouse Subs,63,,,3.5 star rating
247,Moe’s Southwest Grill,,,,
248,QDOBA Mexican Eats,5,,,3 star rating
249,1. There on Fifth,39,,,5 star rating
250,2. Rock Steady - Atlanta,197,$$,,4 star rating
251,3. The Optimist,1764,,,4.5 star rating
252,4. Food Terminal - Atlanta,173,$$,,4.5 star rating
253,5. Forza Storico,222,,,4 star rating
254,6. Choong Man Chicken - Georgia Tech,51,,,4 star rating
255,7. Pijiu Belly,442,,,4 star rating
256,8. Velvet Taco,52,,,4.5 star rating
257,9. JCT Kitchen & Bar,1795,,,4 star rating
258,10. Le Fat,402,$$,,4 star rating
259,Firehouse Subs,63,,,3.5 star rating
260,Moe’s Southwest Grill,,,,
261,QDOBA Mexican Eats,5,,,3 star rating
262,1. There on Fifth,39,,,5 star rating
263,2. Rock Steady - Atlanta,197,$$,,4 star rating
264,3. The Optimist,1764,,,4.5 star rating
265,4. Food Terminal - Atlanta,173,$$,,4.5 star rating
266,5. Forza Storico,222,,,4 star rating
267,6. Choong Man Chicken - Georgia Tech,51,,,4 star rating
268,7. Pijiu Belly,442,,,4 star rating
269,8. Velvet Taco,52,,,4.5 star rating
270,9. JCT Kitchen & Bar,1795,,,4 star rating
271,10. Le Fat,402,$$,,4 star rating
272,Firehouse Subs,63,,,3.5 star rating
273,Moe’s Southwest Grill,,,,
274,QDOBA Mexican Eats,5,,,3 star rating
275,1. There on Fifth,39,,,5 star rating
276,2. Rock Steady - Atlanta,197,$$,,4 star rating
277,3. The Optimist,1764,,,4.5 star rating
